"INCIDENT_ID","OFFENSE_ID","OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","FIRST_OCCURRENCE_DATE","LAST_OCCURRENCE_DATE","REPORTED_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","GEO_LON","GEO_LAT","DISTRICT_ID","PRECINCT_ID","NEIGHBORHOOD_ID","IS_CRIME","IS_TRAFFIC"
"20186003433","20186003433230400","2304","0","theft-parts-from-vehicle","theft-from-motor-vehicle","4/2/2018 1:05:00 PM","4/3/2018 1:05:00 PM","4/13/2018 1:12:00 PM","1300 N PENNSYLVANIA ST","3146004","1693779","-104.980842","39.737082","6","623","capitol-hill","1","0"
"2018252194","2018252194549902","5499","2","vehicular-eluding-no-chase","all-other-crimes","4/15/2018 7:14:00 PM","","4/15/2018 7:18:00 PM","S FEDERAL BLVD / W VIRGINIA AVE","3133617","1682968","-105.02508760","39.70758970","4","412","westwood","1","0"
"2018247390","2018247390239900","2399","0","theft-other","larceny","4/13/2018 4:49:00 PM","","4/13/2018 4:49:00 PM","3060 N GARFIELD ST","3156385","1702286","-104.94374510","39.76026640","2","213","skyland","1","0"
"2018249767","2018249767131300","1313","0","assault-simple","other-crimes-against-persons","4/14/2018 5:10:00 PM","","4/14/2018 8:13:00 PM","2200 BLK LAWRENCE ST","3143852","1700184","-104.98836560","39.75469830","6","611","five-points","1","0"
"2018252146","2018252146570700","5707","0","criminal-trespassing","all-other-crimes","4/15/2018 6:51:00 PM","","4/15/2018 7:24:00 PM","1845 N FEDERAL BLVD","3133452","1697031","-105.02541290","39.74619780","1","121","west-colfax","1","0"
"2018250709","2018250709299900","2999","0","criminal-mischief-other","public-disorder","4/15/2018 1:44:00 AM","","4/15/2018 2:59:00 AM","2000 BLOCK MARKET ST","3142616","1699946","-104.99276630","39.754064","6","612","five-points","1","0"
"20186003445","20186003445230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","4/8/2018 3:00:00 PM","4/8/2018 5:00:00 PM","4/13/2018 4:10:00 PM","2300 PARK AVEW","3142113","1702327","-104.99450810","39.76060790","6","612","five-points","1","0"
"2018250625","2018250625351200","3512","0","drug-heroin-possess","drug-alcohol","4/15/2018 1:20:00 AM","","4/15/2018 2:04:00 AM","S KNOX CT / W ALAMEDA AVE","3131537","1684276","-105.03245640","39.711210","4","412","westwood","1","0"
"20186003481","20186003481230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","4/13/2018 6:30:00 AM","4/13/2018 7:30:00 PM","4/14/2018 9:23:00 PM","404 N DALLAS ST","3175524","1688541","-104.87600640","39.72219280","3","321","lowry-field","1","0"
"2018250725","2018250725230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","4/14/2018 1:58:00 AM","","4/14/2018 11:00:00 PM","3200 BLOCK W CEDAR AVE","3132481","1685047","-105.02908690","39.71331320","4","411","barnum","1","0"
"2018246942","2018246942230300","2303","0","theft-shoplift","larceny","4/6/2018 2:37:00 PM","","4/13/2018 2:05:00 PM","545 S BROADWAY ST","3144028","1682422","-104.98809560","39.70593550","3","312","baker","1","0"
"2018248533","2018248533131302","1313","2","assault-dv","other-crimes-against-persons","4/14/2018 2:00:00 AM","","4/14/2018 5:04:00 AM","LEETSDALE DR / S QUEBEC ST","3167834","1679871","-104.90354610","39.69853380","3","322","washington-virginia-vale","1","0"
"2018238964","2018238964540100","5401","0","traffic-accident-hit-and-run","traffic-accident","4/10/2018 2:00:00 PM","","4/10/2018 2:00:00 PM","1351 5TH ST","3137598","1695904","-105.01069060","39.74304360","1","123","auraria","0","1"
"2018251457","2018251457544100","5441","0","traffic-accident","traffic-accident","4/15/2018 1:47:00 PM","","4/15/2018 1:47:00 PM","E YALE AVE / S MONACO ST","3165282","1668597","-104.91287420","39.66762980","3","323","hampden","0","1"
"2018238561","2018238561239900","2399","0","theft-other","larceny","3/22/2018 10:00:00 AM","3/22/2018 12:00:00 PM","4/10/2018 12:00:00 PM","1200 LARIMER ST","3140028","1696884","-105.00203040","39.74569760","1","123","auraria","1","0"
"2018247814","2018247814544100","5441","0","traffic-accident","traffic-accident","4/13/2018 8:09:00 PM","","4/13/2018 8:32:00 PM","2500 BLK S COLORADO BLVD/ S COLORADO BLVD","3157864","1669614","-104.93920190","39.67055040","3","314","university-hills","0","1"
"2018247911","2018247911544100","5441","0","traffic-accident","traffic-accident","4/13/2018 8:53:00 PM","","4/13/2018 9:04:00 PM","W COLFAX AVE / N BROADWAY ST","3144156","1694853","-104.98739140","39.74005910","6","611","civic-center","0","1"
"20186003477","20186003477230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","4/12/2018 12:25:00 PM","4/14/2018 12:25:00 PM","4/14/2018 12:48:00 PM","3600 E 40TH AVE","3156016","1706643","-104.94496290","39.77223320","2","212","clayton","1","0"
"2018250196","2018250196544100","5441","0","traffic-accident","traffic-accident","4/14/2018 9:45:00 PM","","4/14/2018 9:47:00 PM","20TH ST EXIT / I25 HWYNB","3139350","1702436","-105.00433370","39.76094890","1","113","highland","0","1"
